Ik |tone_cr_pwr|om te |seal_action|Het|tone_action|van|seal_cr_pwr|Ik bezegel|timecell|van|seal_func|Met de|tone_name|toon van|tone_func|Ik word gegidst door|guiding_power|Ik ben een Galactische Activerings Portaal .. treedt mij binnen|Kasteel:|Rood Oostelijk Kasteel van Keren|Wit Noordelijk Kasteel van Kruizen|Blauw Westelijk Kasteel van Branden|Geel Zuidelijk Kasteel van Geven|Groen Centraal Kasteel van Betovering|Wavespell:
31|1|3|8|BLAUWE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|11|Aap|Spelen|Illusie|Magie|het process| de kracht van zelf-generatie|| |1|3|3||||
32|1|3|8|GELE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| mijn eigen kracht verdubbeld|| |2|4|4||||
33|1|3|9|RODE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van levenskracht|| |3|1|1||||
34|1|3|9|WITTE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van eindeloosheid|| |4|2|2||||
35|1|3|9|BLAUWE|9|SOLAIRE|Pulseer|Realiseren|Intentie|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van magie|| |5|3|3||||
36|1|3|9|GELE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van bloei|| |1|4|4||||
37|1|3|10|RODE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| mijn eigen kracht verdubbeld|| |2|1|1||||
38|1|3|10|WITTE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van hart|| |3|2|2||||
39|1|3|10|BLAUWE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van overvloed|1| |4|3|3||||
40|1|4|10|GELE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| mijn eigen kracht verdubbeld|| |5|4|4||||
41|1|4|11|RODE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van ruimte|| |1|1|1||||
42|1|4|11|WITTE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van dood|| |2|2|2||||
43|1|4|11|BLAUWE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van zelf-generatie|1| |3|3|3||||
44|1|4|11|GEEL|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van vrije wil|| |4|4|4||||
45|1|4|12|RODE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|5|Slang|Overleven|Instinct|Levenskracht|de opslag| mijn eigen kracht verdubbeld|| |5|1|1||||
46|1|4|12|WITTE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van eindeloosheid|| |1|2|2||||
47|1|4|12|BLAUWE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van magie|| |2|3|3||||
48|1|4|12|GELE|9|SOLAIRE|Pulseer|Realiseren|Intentie|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van bloei|| |3|4|4||||
49|1|4|13|RODE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van navigatie|| |4|1|1||||
50|1|4|13|WITTE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|10|Hond|Houden Van|Loyaliteit|Hart|het process| mijn eigen kracht verdubbeld|1|Ik ben een polaire kin. Ik transporteer het WITTE galactische spectrum |5|2|2||||
51|1|4|13|BLAUWE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|11|Aap|Spelen|Illusie|Magie|het process| de kracht van overvloed|1| |1|3|3||||
52|1|4|13|GELE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van intelligentie|| |2|4|4||||
53|2|5|14|RODE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| mijn eigen kracht verdubbeld|| |3|1|1||||
54|2|5|14|WITTE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van dood|| |4|2|2||||
55|2|5|14|BLAUWE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van zelf-generatie||Ik ben een polaire kin. Ik vestig het BLAUWE galactische spectrum|5|3|3||||
56|2|5|14|GELE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van vrije wil|| |1|4|4||||
57|2|5|15|RODE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van levenskracht|| |2|1|1||||
58|2|5|15|WITTE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| mijn eigen kracht verdubbeld|1| |3|2|2||||
59|2|5|15|BLAUWE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van magie|| |4|3|3||||
60|2|5|15|GELE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van bloei|| |5|4|4||||
61|2|5|16|RODE|9|SOLAIRE|Pulseer|Realiseren|Intentie|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van navigatie|| |1|1|1||||
62|2|5|16|WITTE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van hart|| |2|2|2||||
63|2|5|16|BLAUWE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| mijn eigen kracht verdubbeld|| |3|3|3||||
64|2|5|16|GEEL|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van intelligentie|1| |4|4|4||||
65|2|5|17|RODE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van universeel water|| |5|1|1||||
66|2|6|17|WITTE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| mijn eigen kracht verdubbeld|| |1|2|2||||
67|2|6|17|BLAUWE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van zelf-generatie|| |2|3|3||||
68|2|6|17|GELE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van vrije wil|| |3|4|4||||
69|2|6|18|RODE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van levenskracht|1| |4|1|1||||
70|2|6|18|WITTE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van eindeloosheid|| |5|2|2||||
71|2|6|18|BLAUWE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|11|Aap|Spelen|Illusie|Magie|het process| mijn eigen kracht verdubbeld|| |1|3|3||||
72|2|6|18|GELE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van bloei|1| |2|4|4||||
73|2|6|19|RODE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van navigatie|| |3|1|1||||
74|2|6|19|WITTE|9|SOLAIRE|Pulseer|Realiseren|Intentie|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van hart|| |4|2|2||||
75|2|6|19|BLAUWE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van overvloed||Ik ben een polaire kin. Ik extendeer het BLAUWE galactische spectrum|5|3|3||||
76|2|6|19|GELE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| mijn eigen kracht verdubbeld|| |1|4|4||||
77|2|6|20|RODE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van universeel water|1| |2|1|1||||
78|2|6|20|WITTE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van spirit|| |3|2|2||||
79|2|7|20|BLAUWE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| mijn eigen kracht verdubbeld|| |4|3|3||||
80|2|7|20|GELE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van vrije wil|| |5|4|4||||
81|2|7|21|RODE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van levenskracht|| |1|1|1||||
82|2|7|21|WITTE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van eindeloosheid|| |2|2|2||||
83|2|7|21|BLAUWE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van magie|| |3|3|3||||
84|2|7|21|GEEL|6|RITMISCH|Organiseer|Balanceren|Gelijkheid|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| mijn eigen kracht verdubbeld|| |4|4|4||||
85|2|7|22|RODE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van navigatie|1| |5|1|1||||
86|2|7|22|WITTE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van hart|| |1|2|2||||
87|2|7|22|BLAUWE|9|SOLAIRE|Pulseer|Realiseren|Intentie|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van overvloed|| |2|3|3||||
88|2|7|22|GELE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van intelligentie|1| |3|4|4||||
89|2|7|23|RODE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|9|Maan|Zuiveren|Flow|Universeel Water|het process| mijn eigen kracht verdubbeld|| |4|1|1||||
90|2|7|23|WITTE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van eindeloosheid|| |5|2|2||||
91|2|7|23|BLAUWE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|11|Aap|Spelen|Illusie|Magie|het process| de kracht van visie|| |1|3|3||||
92|2|8|23|GELE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| mijn eigen kracht verdubbeld|| |2|4|4||||
93|2|8|24|RODE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van levenskracht|1| |3|1|1||||
94|2|8|24|WITTE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van eindeloosheid|| |4|2|2||||
95|2|8|24|BLAUWE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van magie||Ik ben een polaire kin. Ik converteer het BLAUWE galactische spectrum|5|3|3||||
96|2|8|24|GELE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van bloei|1| |1|4|4||||
97|2|8|25|RODE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| mijn eigen kracht verdubbeld|| |2|1|1||||
98|2|8|25|WITTE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van hart|| |3|2|2||||
99|2|8|25|BLAUWE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van overvloed|| |4|3|3||||
100|2|8|25|GELE|9|SOLAIRE|Pulseer|Realiseren|Intentie|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van intelligentie|| |5|4|4||||
101|2|8|26|RODE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van universeel water|| |1|1|1||||
102|2|8|26|WITTE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|2|Wind|Communiceren|Adem|Spirit|de inbreng| mijn eigen kracht verdubbeld|| |2|2|2||||
103|2|8|26|BLAUWE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van visie|| |3|3|3||||
104|2|8|26|GEEl|13|KOSMISCH|Laat Voortduren|Transcenderen|Aanwezigheid|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van elegantie|| |4|4|4||||
105|3|9|27|RODE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|5|Slang|Overleven|Instinct|Levenskracht|de opslag| mijn eigen kracht verdubbeld|| |5|1|1||||
106|3|9|27|WITTE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van magie|1| |1|2|2||||
107|3|9|27|BLAUWE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van magie|1| |2|3|3||||
108|3|9|27|GELE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van bloei|1| |3|4|4||||
109|3|9|28|RODE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van navigatie|1| |4|1|1||||
110|3|9|28|WITTE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|10|Hond|Houden Van|Loyaliteit|Hart|het process| mijn eigen kracht verdubbeld|1| |5|2|2||||
111|3|9|28|BLAUWE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|11|Aap|Spelen|Illusie|Magie|het process| de kracht van overvloed|1| |1|3|3||||
112|3|9|28|GELE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van intelligentie|1| |2|4|4||||
113|3|9|29|RODE|9|SOLAIRE|Pulseer|Realiseren|Intentie|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van universeel water|1| |3|1|1||||
114|3|9|29|WITTE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van spirit|1| |4|2|2||||
115|3|9|29|BLAUWE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| mijn eigen kracht verdubbeld|1|Ik ben een polaire kin. Ik transporteer het BLAUWE galactische spectrum|5|3|3||||
116|3|9|29|GELE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van elegantie|| |1|4|4||||
117|3|9|30|RODE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van geboorte|| |2|1|1||||
118|3|10|30|WITTE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| mijn eigen kracht verdubbeld|| |3|2|2||||
119|3|10|30|BLAUWE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van magie|| |4|3|3||||
120|3|10|30|GELE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van bloei||Ik ben een polaire kin. Ik vestig het GELE galactische spectrum|5|4|4||||
121|3|10|31|RODE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van navigatie|| |1|1|1||||
122|3|10|31|WITTE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van hart|| |2|2|2||||
123|3|10|31|BLAUWE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| mijn eigen kracht verdubbeld|| |3|3|3||||
124|3|10|31|GEEl|7|RESONANT|Kanaliseer|Inspireren|Afstemming|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van intelligentie|| |4|4|4||||
125|3|10|32|RODE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van universeel water|| |5|1|1||||
126|3|10|32|WITTE|9|SOLAIRE|Pulseer|Realiseren|Intentie|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van spirit|| |1|2|2||||
127|3|10|32|BLAUWE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van visie|| |2|3|3||||
128|3|10|32|GELE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| mijn eigen kracht verdubbeld|| |3|4|4||||
129|3|10|33|RODE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van geboorte|| |4|1|1||||
130|3|10|33|WITTE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van tijdloosheid|| |5|2|2||||
131|3|11|33|BLAUWE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|11|Aap|Spelen|Illusie|Magie|het process| mijn eigen kracht verdubbeld|| |1|3|3||||
132|3|11|33|GELE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van bloei|| |2|4|4||||
133|3|11|34|RODE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van navigatie|| |3|1|1||||
134|3|11|34|WITTE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van hart|| |4|2|2||||
135|3|11|34|BLAUWE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van overvloed|| |5|3|3||||
136|3|11|34|GELE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| mijn eigen kracht verdubbeld|| |1|4|4||||
